Product_ID,Short_Title,Short_Description,Full_Description,Category,Image_URL,Video_URL,Original_Price,Discount_Price,Discount_Percent,Currency,Sales_180D,Positive_Feedback_Percent,Affiliate_Link,Commission_Rate,Commission_Amount
1005007893416089,Short Pixie Wigs For Black,Now $0.99 (was $35.59) — 97% OFF! • 109+ sold in last 6 months • 94.4% positive feedback,Short Pixie Wigs for Black Women Short Black Curly pixie Wigs Synthetic Hair Wigs for Black Women Natural Wavy Black pixie Cut,Hair & Wigs,https://ae-pic-a1.aliexpress-media.com/kf/S3276da6d71ad4b9885afcb78d7fe6e9eF.jpg,,35.59,0.99,97.0,USD,109,94.4,https://s.click.aliexpress.com/e/_c3VqxFCd,7.0,USD 0.07
1005009069174268,Folding Pocket Knives D2 Drop,Now $0.99 (was $35.48) — 97% OFF! • 144+ sold in last 6 months • 95.1% positive feedback,Folding Pocket Knives D2 Drop Point Blade Nylon Fiber Handle Outdoor Camping Tactical Hunting Survival EDC Utility Knives Tools,Tools & DIY,https://ae-pic-a1.aliexpress-media.com/kf/S2c44ea0d912b4b50883736f5f6c4ce2dc.jpg,,35.48,0.99,97.0,USD,144,95.1,https://s.click.aliexpress.com/e/_c37Qqa9F,7.0,USD 0.07
1005010019736091,Straight 613 Blonde Color 1/3/4,Now $1.01 (was $36.81) — 97% OFF! • 635+ sold in last 6 months • 92.2% positive feedback,Straight 613 Blonde Color 1/3/4 Brazilian Hair Bundles Straight Weave Remy Human Hair Weft 26 28 30 32 34 36 38 40 Inch Bundle,Hair & Wigs,https://ae-pic-a1.aliexpress-media.com/kf/Sc0e07f8fd0274bdebebcfa56ef712b31D.png,,36.81,1.01,97.0,USD,635,92.2,https://s.click.aliexpress.com/e/_c45oYOJP,7.0,USD 0.07
1005007874503621,Black Women'S Short Curly Elf,Now $0.99 (was $34.57) — 97% OFF! • 90+ sold in last 6 months • 97.8% positive feedback,Black Women's Short Curly Elf Wig Black Women's Synthetic Wig Natural Wave Shape Black Elf Cutting Wig Short Curly Layered Elf,Hair & Wigs,https://ae-pic-a1.aliexpress-media.com/kf/Se5aae462b4f546c1ac0d4c5a7212d3782.jpg,,34.57,0.99,97.0,USD,90,97.8,https://s.click.aliexpress.com/e/_c3vDGWFJ,7.0,USD 0.07
1005007846702260,38 40 Inch Body Wave,Now $0.99 (was $33.37) — 97% OFF! • 636+ sold in last 6 months • 94.0% positive feedback,38 40 Inch Body Wave 3 4 Bundles Brazilian Remy Unprocessed Human Hair Wavy Doule Drawn Bundles Weave Extensions,Hair & Wigs,https://ae-pic-a1.aliexpress-media.com/kf/Sce53c635fac64e018092f27f11f19c8al.jpg,,33.37,0.99,97.0,USD,636,94.0,https://s.click.aliexpress.com/e/_c4EuRF6Z,7.0,USD 0.07
1005009955233396,Gravity Electric Salt And Pepper,Now $1.39 (was $34.99) — 96% OFF! • 151+ sold in last 6 months • 86.7% positive feedback • Auto functionality • Adjustable settings,"Gravity Electric Salt And Pepper Mill, Tilt To Grind Automatically, Battery Powered, Coarseness Adjustable, Upgraded Large Capac",Gaming & Consoles,https://ae-pic-a1.aliexpress-media.com/kf/Sfa41b23824c84d98be87ca268a5fa46fb.jpg,,34.99,1.39,96.0,USD,151,86.7,https://s.click.aliexpress.com/e/_c4pj1WCv,7.0,USD 0.10
1005009049421339,Short Pixie Cut Wigs For,Now $0.99 (was $28.84) — 96% OFF! • 186+ sold in last 6 months • 82.1% positive feedback,Short Pixie Cut Wigs for Black Women Super Short Hair Wigs Black Pixie Cut Wig Short Hairstyles for Women Synthetic Layered Wigs,Hair & Wigs,https://ae-pic-a1.aliexpress-media.com/kf/S42d64aa288424dfbb3f08e894191f2b2p.jpg,,28.84,0.99,96.0,USD,186,82.1,https://s.click.aliexpress.com/e/_c2Q4YDQ1,7.0,USD 0.07
1005008166008821,Hub Multi Splitter Port High,Now $1.04 (was $27.60) — 96% OFF! • 35+ sold in last 6 months • 97.1% positive feedback • Multi-function,Hub Multi Splitter Port High Speed Transmission USB 6 Port Memory TF Docking Station Plug and Play for Mobile Hard Drive,USB Hubs & Adapters,https://ae-pic-a1.aliexpress-media.com/kf/S87bc91c16a0b407b963f069232535ed75.jpg,,27.6,1.04,96.0,USD,35,97.1,https://s.click.aliexpress.com/e/_c32HeSlx,3.0,USD 0.03
1005009774279154,Fixed Blade Knives 420Hc Stainless,Now $0.99 (was $28.68) — 96% OFF! • 138+ sold in last 6 months • 90.1% positive feedback,Fixed Blade Knives 420HC Stainless Steel Outdoor Survival Camping Knife with ABS Handle Nylon Sheath,Tools & DIY,https://ae-pic-a1.aliexpress-media.com/kf/S7ebae149df5240188eda67f27136759c7.jpg,,28.68,0.99,96.0,USD,138,90.1,https://s.click.aliexpress.com/e/_c3jp6Op3,7.0,USD 0.07
1005009201566752,Tactical Folding Knife With Serrated,Now $0.99 (was $31.57) — 96% OFF! • 152+ sold in last 6 months • 96.9% positive feedback,"Tactical Folding Knife with Serrated Blade, Glass Breaker & Bottle Opener, EDC Pocket Knife for Men, Outdoor Survival Camping",Tools & DIY,https://ae-pic-a1.aliexpress-media.com/kf/S17d50ceab39244c1b0d99804e1b06744s.jpg,,31.57,0.99,96.0,USD,152,96.9,https://s.click.aliexpress.com/e/_c35ETHc5,7.0,USD 0.07
1005006890923631,Original Sandisk Memory Card 256Gb,"Now $0.99 (was $24.97) — 96% OFF! • 4,227+ sold in last 6 months • 95.7% positive feedback",Original Sandisk Memory Card 256GB 128GB 64GB 32GB TF micro sd card Class 10 UHS-1 flash card Memory Microsd for Samrtphone PC,Storage & Memory,https://ae-pic-a1.aliexpress-media.com/kf/S7b9aff45a8894b809f0286c1dc433028U.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/240600233/p/1/e/6/t/10301/4000174542237.mp4,24.97,0.99,96.0,USD,4227,95.7,https://s.click.aliexpress.com/e/_c4LdPbzb,3.0,USD 0.03
1005005995773568,3.5 Inch Ips Type C,"Now $1.67 (was $43.96) — 96% OFF! • 3,535+ sold in last 6 months • 93.0% positive feedback • HD quality",3.5 Inch IPS Type C Secondary Screen for Computer CPU GPU RAM HDD Display 320*480 USB LCD Monitor Freely AIDA64 Windows 10 11,PC Components,https://ae-pic-a1.aliexpress-media.com/kf/Sa591d6667dab423ca390c9c92c029ad2I.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/221224290/p/1/e/6/t/10301/1100128548095.mp4,43.96,1.67,96.0,USD,3535,93.0,https://s.click.aliexpress.com/e/_c44h66Hn,7.0,USD 0.12
1005009940046207,"1Pc/2Pcs, Gravity Electric Salt And",Now $0.99 (was $28.82) — 96% OFF! • 101+ sold in last 6 months • 98.5% positive feedback • Auto functionality,"1pc/2pcs, Gravity Electric Salt And Pepper Grinder - Salt & Pepper Mill Sets With LED Light, One Hand Automatic Operation, Adjus",Home & Office,https://ae-pic-a1.aliexpress-media.com/kf/S06ad7042da4642478c316985ea84c9faO.jpg,,28.82,0.99,96.0,USD,101,98.5,https://s.click.aliexpress.com/e/_c4kBMZwD,7.0,USD 0.07
1005008393838140,2Pcs Black Hair Colouring Shampoo,Now $0.99 (was $26.59) — 96% OFF! • 101+ sold in last 6 months • 85.2% positive feedback,2pcs Black Hair Colouring Shampoo Natural Herbal Essence 3 in 1 Colouring Shampoo Clean Dandruff Removing for Covering White,Hair & Wigs,https://ae-pic-a1.aliexpress-media.com/kf/S050a6bab1a9a4e0786e3e7aaceff1840v.jpg,,26.59,0.99,96.0,USD,101,85.2,https://s.click.aliexpress.com/e/_c3hhYcDL,7.0,USD 0.07
